Task,Config,Final_Score,L1_Error,MSE_Error,SSIM,Ink_IoU,Ink_Density_Gap,Edge_L1,Stroke_Detail_Ratio
Task5_GAN_L2,U-Net + Skip + GAN + L2,0.10967098239064214,0.03441991463303566,0.034390661716461185,0.9242701768875122,0.8183769416809082,0.006604690551757813,0.04954886019229889,0.42337983965873716
Task3_VAE,U-Net + Skip + VAE + L1,0.12396682453900577,0.03640979290008545,0.05700818672776222,0.921651508808136,0.8032149195671081,0.004272003173828125,0.05282768175005913,1.1943483400344848
Task2_Ablation,Bottleneck (No Skip) + L1,0.1314898709952831,0.035717173367738726,0.056877002120018005,0.9262332582473755,0.7840173816680909,0.006851654052734375,0.04962487518787384,1.1897105979919433
Task4_GAN_L1,U-Net + Skip + GAN + L1,0.1775761599391699,0.050076491236686706,0.0848646080493927,0.9059508776664734,0.7104925525188446,0.007278213500976563,0.06057203382253647,1.2674996995925902
Task1_Baseline,U-Net + Skip + L1,0.23801064851880072,0.07547573745250702,0.13300943613052368,0.8741195392608643,0.6242451560497284,0.00988739013671875,0.07684091508388519,1.505910840034485
